taxon	rank	distance	rate
Coelomata		657.707796	0.000921
Coelomata		60.515631	0.000754
Coelomata		119.665539	0.000717
Coelomata		669.949202	0.000676
Coelomata		189.46455	0.000723
Coelomata		669.949202	0.000681
Coelomata		669.949202	0.000769
Coelomata		144.75387	0.000764
Coelomata		669.949202	0.000651
Coelomata		56.18867	0.000733
Coelomata		669.949202	0.000602
Coelomata		98.869545	0.000781
Coelomata		669.949202	0.000809
Coelomata		340.436404	0.001604
Coelomata		340.436404	0.001668
Coelomata		101.052891	0.000719
Coelomata		651.311033	0.000607
Coelomata		651.311033	0.000758
Coelomata		71.827243	0.000717
Coelomata		661.156319	0.000585
Coelomata		588.109496	0.001024
Coelomata		37.855531	0.00116
Coelomata		588.109497	0.000996
Coelomata		588.109497	0.001141
Coelomata		73.495579	0.000768
Coelomata		676.987819	0.000657
Coelomata		989.602848	0.001037
Coelomata		989.602848	0.001321
Coelomata		353.523763	0.001322
Coelomata		989.602849	0.001203
Coelomata		989.602849	0.0016
Coelomata		752.764399	0.003011
Coelomata		419.876779	0.002729
Culex_quinquefasciatus	Species	8.602123	0.001451
Culex_quinquefasciatus	Species	8.602123	0.001478
Culicidae	Family	201.784103	0.001691
Culicidae	Family	201.784103	0.001738
Culicidae	Family	262.466736	0.00181
Culicidae	Family	170.729974	0.000741
Culicinae	Subfamily	90.785624	0.001362
Culicinae	Subfamily	90.785624	0.001392
Culicinae	Subfamily	96.093381	0.001277
Culicinae	Subfamily	96.093381	0.001258
Culicinae	Subfamily	126.483345	0.001786
Culicinae	Subfamily	126.483345	0.001795
Culicinae	Subfamily	101.366392	0.001308
Culicinae	Subfamily	101.366392	0.001285
Culicinae	Subfamily	174.127509	0.000968
Culicinae	Subfamily	174.127509	0.00103
Culicinae	Subfamily	53.481379	0.001847
Culicinae	Subfamily	53.481379	0.001814
Culicinae	Subfamily	115.510719	0.001251
Culicinae	Subfamily	115.510719	0.001161
Culicinae	Subfamily	191.792469	0.001504
Culicinae	Subfamily	83.71233	0.002188
Culicinae	Subfamily	83.71233	0.002275
Culicinae	Subfamily	148.858609	0.001732
Culicinae	Subfamily	148.858609	0.001777
Culicinae	Subfamily	103.496787	0.001724
Culicinae	Subfamily	103.496787	0.001735
Culicinae	Subfamily	113.857742	0.002829
Culicinae	Subfamily	113.857742	0.002544
Culicinae	Subfamily	83.73985	0.000718
Culicinae	Subfamily	83.73985	0.000683
Danio_rerio	Species	187.179982	0.00058
Danio_rerio	Species	187.179982	0.000643
Danio_rerio	Species	0.512478	0.001187
Danio_rerio	Species	0.512478	0.001187
Dasypus_novemcinctus	Species	109.189795	0.000287
Dasypus_novemcinctus	Species	109.189795	0.000446
Dipodomys_ordii	Species	34.801732	0.000914
Dipodomys_ordii	Species	34.801732	0.001017
Drosophila	Genus	43.508384	0.001744
Drosophila	Genus	43.508384	0.001704
Drosophila	Genus	57.901004	0.001625
Drosophila	Genus	55.292371	0.001444
Drosophila	Genus	55.292371	0.001416
Drosophila	Genus	99.088064	0.001404
Drosophila	Genus	69.713964	0.001898
Drosophila	Genus	48.86668	0.001889
Drosophila	Genus	48.86668	0.001882
Drosophila	Genus	102.802744	0.001889
Drosophila	Genus	60.855942	0.001652
Drosophila	Genus	60.855942	0.001596
Drosophila	Genus	90.075386	0.001611
Drosophila	Genus	96.354626	0.000971
Drosophila	Genus	96.354626	0.000962
Drosophila	Genus	112.793499	0.00103
Drosophila	Genus	59.195663	0.001568
Drosophila	Genus	59.195663	0.001531
Drosophila	Genus	77.628242	0.001528
Drosophila	Genus	66.89839	0.001656
Drosophila	Genus	66.89839	0.001651
Drosophila	Genus	82.182847	0.001234
Drosophila	Genus	59.182274	0.001279
Drosophila	Genus	59.182274	0.001311
